datetime_utc,ground_station,range_rate
2020-01-01 03:13:30,Svalbard,-3901.3771615965875
2020-01-01 03:14:00,Svalbard,-2300.233425760958
2020-01-01 03:14:30,Svalbard,-237.80309970532352
2020-01-01 03:15:00,Svalbard,1881.445135682247
2020-01-01 03:15:30,Svalbard,3599.8577379164117
2020-01-01 03:16:00,Svalbard,4785.796722198851
2020-01-01 03:16:30,Svalbard,5550.1370597958285
2020-01-01 03:17:00,Svalbard,6038.304728879758
2020-01-01 03:17:30,Svalbard,6355.151768027377
2020-01-01 03:18:00,Svalbard,6565.309961592072
2020-01-01 03:18:30,Svalbard,6707.207230708117
2020-01-01 03:19:00,Svalbard,6803.875697771438
2020-01-01 03:19:30,Svalbard,6869.457947881382
2020-01-01 03:20:00,Svalbard,6912.895027107537
2020-01-01 03:20:30,Svalbard,6940.011051538779
2020-01-01 03:54:00,Antarctica,-5298.595992821602
2020-01-01 03:54:30,Antarctica,-5037.490252877869
2020-01-01 03:55:00,Antarctica,-4718.287317686033
2020-01-01 03:55:30,Antarctica,-4330.074819762645
2020-01-01 03:56:00,Antarctica,-3861.784776297757
2020-01-01 03:56:30,Antarctica,-3304.026168843764
2020-01-01 03:57:00,Antarctica,-2652.0196865082335
2020-01-01 03:57:30,Antarctica,-1909.3506740321297
2020-01-01 03:58:00,Antarctica,-1091.351484844194
2020-01-01 03:58:30,Antarctica,-226.05036333805396
2020-01-01 03:59:00,Antarctica,649.1272028748375
2020-01-01 03:59:30,Antarctica,1494.6275934473701
2020-01-01 04:00:00,Antarctica,2277.027477914263
2020-01-01 04:00:30,Antarctica,2974.541857531083
2020-01-01 04:01:00,Antarctica,3578.063268343618
2020-01-01 04:01:30,Antarctica,4088.7115051028895
2020-01-01 04:02:00,Antarctica,4514.046396254728
2020-01-01 04:02:30,Antarctica,4864.634942509274
2020-01-01 04:03:00,Antarctica,5151.669339727843
2020-01-01 04:03:30,Antarctica,5385.6239631475155
2020-01-01 04:43:00,Svalbard,-7010.404573659289
2020-01-01 04:43:30,Svalbard,-6992.766615459284
2020-01-01 04:44:00,Svalbard,-6960.908689400337
2020-01-01 04:44:30,Svalbard,-6909.3752250471625
2020-01-01 04:45:00,Svalbard,-6829.4286770108065
2020-01-01 04:45:30,Svalbard,-6706.506033080992
2020-01-01 04:46:00,Svalbard,-6515.269230835456
2020-01-01 04:46:30,Svalbard,-6209.727878137939
2020-01-01 04:47:00,Svalbard,-5703.859058109028
2020-01-01 04:47:30,Svalbard,-4839.360613724009
2020-01-01 04:48:00,Svalbard,-3370.266354869659
2020-01-01 04:48:30,Svalbard,-1132.9893693612291
2020-01-01 04:49:00,Svalbard,1470.5374038919956
2020-01-01 04:49:30,Svalbard,3611.1151244456787
2020-01-01 04:50:00,Svalbard,4984.029182524922
2020-01-01 04:50:30,Svalbard,5787.913079736845
2020-01-01 04:51:00,Svalbard,6259.797695310435
2020-01-01 04:51:30,Svalbard,6546.239530437623
2020-01-01 04:52:00,Svalbard,6726.295365091897
2020-01-01 04:52:30,Svalbard,6842.336445336616
2020-01-01 04:53:00,Svalbard,6917.832061114255
2020-01-01 04:53:30,Svalbard,6966.350337978913
2020-01-01 04:54:00,Svalbard,6996.077375501882
2020-01-01 04:54:30,Svalbard,7012.150356177446
2020-01-01 06:17:30,Svalbard,-7000.488620061401
2020-01-01 06:18:00,Svalbard,-6984.4899893038
2020-01-01 06:18:30,Svalbard,-6954.81961750525
2020-01-01 06:19:00,Svalbard,-6906.174061747308
2020-01-01 06:19:30,Svalbard,-6829.991452756947
2020-01-01 06:20:00,Svalbard,-6711.859463330795
2020-01-01 06:20:30,Svalbard,-6526.377567328724
2020-01-01 06:21:00,Svalbard,-6226.652251504146
2020-01-01 06:21:30,Svalbard,-5722.974923075837
2020-01-01 06:22:00,Svalbard,-4845.465368653222
2020-01-01 06:22:30,Svalbard,-3322.2893985244714
2020-01-01 06:23:00,Svalbard,-976.1980333737487
2020-01-01 06:23:30,Svalbard,1710.8504318216346
2020-01-01 06:24:00,Svalbard,3834.255464055391
2020-01-01 06:24:30,Svalbard,5144.384492413348
2020-01-01 06:25:00,Svalbard,5892.4122755021035
2020-01-01 06:25:30,Svalbard,6325.250047674535
