datetime_utc,ground_station,range
2020-01-01 03:14:00,Svalbard,782810.8191479177
2020-01-01 03:14:30,Svalbard,743948.6488650924
2020-01-01 03:15:00,Svalbard,769134.44184082
2020-01-01 03:15:30,Svalbard,852688.919999146
2020-01-01 03:16:00,Svalbard,979717.1215509963
2020-01-01 03:16:30,Svalbard,1135613.1188132733
2020-01-01 03:17:00,Svalbard,1309974.8123936106
2020-01-01 03:17:30,Svalbard,1496205.5024136638
2020-01-01 03:18:00,Svalbard,1690217.9360167198
2020-01-01 03:18:30,Svalbard,1889437.7306104235
2020-01-01 03:19:00,Svalbard,2092191.4270860422
2020-01-01 03:19:30,Svalbard,2297351.201703011
2020-01-01 03:20:00,Svalbard,2504128.6568983225
2020-01-01 03:20:30,Svalbard,2711952.598211501
2020-01-01 03:54:00,Antarctica,2626797.57428127
2020-01-01 03:54:30,Antarctica,2471621.214867437
2020-01-01 03:55:00,Antarctica,2325123.6878483403
2020-01-01 03:55:30,Antarctica,2189209.776384514
2020-01-01 03:56:00,Antarctica,2066117.2356563243
2020-01-01 03:56:30,Antarctica,1958396.581199751
2020-01-01 03:57:00,Antarctica,1868819.4771308627
2020-01-01 03:57:30,Antarctica,1800185.1496388868
2020-01-01 03:58:00,Antarctica,1755015.5144444932
2020-01-01 03:58:30,Antarctica,1735179.7181800574
2020-01-01 03:59:00,Antarctica,1741551.2208717917
2020-01-01 03:59:30,Antarctica,1773827.7237571273
2020-01-01 04:00:00,Antarctica,1830593.1044521898
2020-01-01 04:00:30,Antarctica,1909594.9936812082
2020-01-01 04:01:00,Antarctica,2008120.4257477534
2020-01-01 04:01:30,Antarctica,2123345.3858365985
2020-01-01 04:02:00,Antarctica,2252585.648499346
2020-01-01 04:02:30,Antarctica,2393436.3187124715
2020-01-01 04:03:00,Antarctica,2543823.486898202
2020-01-01 04:03:30,Antarctica,2702000.5400515194
2020-01-01 04:43:00,Svalbard,2578831.4527814747
2020-01-01 04:43:30,Svalbard,2368748.4562851046
2020-01-01 04:44:00,Svalbard,2159397.1789064845
2020-01-01 04:44:30,Svalbard,1951279.9753395258
2020-01-01 04:45:00,Svalbard,1745107.5935875208
2020-01-01 04:45:30,Svalbard,1541931.6927327123
2020-01-01 04:46:00,Svalbard,1343385.4782722513
2020-01-01 04:46:30,Svalbard,1152138.0862692334
2020-01-01 04:47:00,Svalbard,972774.0184074161
2020-01-01 04:47:30,Svalbard,813451.6168722573
2020-01-01 04:48:00,Svalbard,688459.6354496552
2020-01-01 04:48:30,Svalbard,619123.6697773751
2020-01-01 04:49:00,Svalbard,624351.2078742556
2020-01-01 04:49:30,Svalbard,702472.8473651514
2020-01-01 04:50:00,Svalbard,833162.5927148596
2020-01-01 04:50:30,Svalbard,995826.05260688
2020-01-01 04:51:00,Svalbard,1177145.243981163
2020-01-01 04:51:30,Svalbard,1369573.8379237333
2020-01-01 04:52:00,Svalbard,1568858.6634996727
2020-01-01 04:52:30,Svalbard,1772508.0130982662
2020-01-01 04:53:00,Svalbard,1978986.7985385822
2020-01-01 04:53:30,Svalbard,2187300.0211882233
2020-01-01 04:54:00,Svalbard,2396771.1038507638
2020-01-01 04:54:30,Svalbard,2606919.130900072
2020-01-01 06:17:30,Svalbard,2548096.2079301015
2020-01-01 06:18:00,Svalbard,2338286.8365229294
2020-01-01 06:18:30,Svalbard,2129152.550784415
2020-01-01 06:19:00,Svalbard,1921176.6170951799
2020-01-01 06:19:30,Svalbard,1715046.0817266149
2020-01-01 06:20:00,Svalbard,1511783.8524679302
2020-01-01 06:20:30,Svalbard,1312992.2735717846
2020-01-01 06:21:00,Svalbard,1121321.5453454896
2020-01-01 06:21:30,Svalbard,941398.351307284
2020-01-01 06:22:00,Svalbard,781634.0515864417
2020-01-01 06:22:30,Svalbard,657127.6959840029
2020-01-01 06:23:00,Svalbard,590772.9759188197
2020-01-01 06:23:30,Svalbard,602179.8150915345
2020-01-01 06:24:00,Svalbard,687470.7021843569
2020-01-01 06:24:30,Svalbard,823935.9882621922
2020-01-01 06:25:00,Svalbard,990531.0829346969
2020-01-01 06:25:30,Svalbard,1174360.9445233415
2020-01-01 06:26:00,Svalbard,1368336.9025059375
2020-01-01 06:26:30,Svalbard,1568526.4650778905
2020-01-01 06:27:00,Svalbard,1772643.7631274688
2020-01-01 06:27:30,Svalbard,1979285.241433331
2020-01-01 06:28:00,Svalbard,2187541.7474383875
2020-01-01 06:28:30,Svalbard,2396794.044881456
2020-01-01 06:29:00,Svalbard,2606600.957102885
2020-01-01 07:52:30,Svalbard,2584324.866211519
2020-01-01 07:53:00,Svalbard,2384597.4366989126
2020-01-01 07:53:30,Svalbard,2187165.3360501383
2020-01-01 07:54:00,Svalbard,1992951.3646210742
2020-01-01 07:54:30,Svalbard,1803234.1199247062
2020-01-01 07:55:00,Svalbard,1619829.2543104712
2020-01-01 07:55:30,Svalbard,1445370.5429663137
2020-01-01 07:56:00,Svalbard,1283729.3201741977
2020-01-01 07:56:30,Svalbard,1140570.5907822733
2020-01-01 07:57:00,Svalbard,1023853.2913396882
2020-01-01 07:57:30,Svalbard,943578.4059803084
2020-01-01 07:58:00,Svalbard,909530.9237396913
2020-01-01 07:58:30,Svalbard,926846.5993815896
2020-01-01 07:59:00,Svalbard,992815.504932596
2020-01-01 07:59:30,Svalbard,1098638.6011445704
2020-01-01 08:00:00,Svalbard,1234002.4106091214
2020-01-01 08:00:30,Svalbard,1390176.9614157358
2020-01-01 08:01:00,Svalbard,1560781.8538396095
2020-01-01 08:01:30,Svalbard,1741421.4827648893
2020-01-01 08:02:00,Svalbard,1929108.9427529343
2020-01-01 08:02:30,Svalbard,2121796.720563632
2020-01-01 08:03:00,Svalbard,2318053.9215097413
2020-01-01 08:03:30,Svalbard,2516856.512136483
2020-01-01 08:04:00,Svalbard,2717452.8642874835
2020-01-01 09:28:30,Svalbard,2565644.034907236
2020-01-01 09:29:00,Svalbard,2390366.093757251
2020-01-01 09:29:30,Svalbard,2221254.1922346754
2020-01-01 09:30:00,Svalbard,2060024.0977350536
2020-01-01 09:30:30,Svalbard,1908861.1819130864
2020-01-01 09:31:00,Svalbard,1770520.3784419454
2020-01-01 09:31:30,Svalbard,1648391.1149865903
2020-01-01 09:32:00,Svalbard,1546455.8087208283
2020-01-01 09:32:30,Svalbard,1469034.729318489
2020-01-01 09:33:00,Svalbard,1420222.1013225913
2020-01-01 09:33:30,Svalbard,1403052.1510347158
2020-01-01 09:34:00,Svalbard,1418684.027595046
2020-01-01 09:34:30,Svalbard,1466044.7740740287
2020-01-01 09:35:00,Svalbard,1542159.3371125248
2020-01-01 09:35:30,Svalbard,1642955.4408956075
2020-01-01 09:36:00,Svalbard,1764104.704392969
2020-01-01 09:36:30,Svalbard,1901600.307501147
2020-01-01 09:37:00,Svalbard,2052023.2194151639
2020-01-01 09:37:30,Svalbard,2212590.816235643
2020-01-01 09:38:00,Svalbard,2381094.504124435
2020-01-01 09:38:30,Svalbard,2555800.0298479823
2020-01-01 10:25:00,Antarctica,2688627.7596090543
2020-01-01 10:25:30,Antarctica,2636424.9434465826
2020-01-01 10:26:00,Antarctica,2599607.856171413
2020-01-01 10:26:30,Antarctica,2578879.923281107
2020-01-01 10:27:00,Antarctica,2574656.3513865327
2020-01-01 10:27:30,Antarctica,2587027.658319251
2020-01-01 10:28:00,Antarctica,2615750.8663924406
2020-01-01 10:28:30,Antarctica,2660272.1871618135
2020-01-01 11:05:00,Svalbard,2668873.568587912
2020-01-01 11:05:30,Svalbard,2523640.5567450295
2020-01-01 11:06:00,Svalbard,2387834.157461604
2020-01-01 11:06:30,Svalbard,2263302.273858117
2020-01-01 11:07:00,Svalbard,2152139.5148353702
2020-01-01 11:07:30,Svalbard,2056635.3186180762
2020-01-01 11:08:00,Svalbard,1979159.2205143047
2020-01-01 11:08:30,Svalbard,1921972.5569819924
2020-01-01 11:09:00,Svalbard,1886977.2855403705
2020-01-01 11:09:30,Svalbard,1875447.6074371394
2020-01-01 11:10:00,Svalbard,1887819.822313444
2020-01-01 11:10:30,Svalbard,1923614.456902182
2020-01-01 11:11:00,Svalbard,1981521.023983448
2020-01-01 11:11:30,Svalbard,2059612.5007908898
2020-01-01 11:12:00,Svalbard,2155614.5134654194
2020-01-01 11:12:30,Svalbard,2267154.5924598216
2020-01-01 11:13:00,Svalbard,2391947.3624008344
2020-01-01 11:13:30,Svalbard,2527905.992162453
2020-01-01 11:14:00,Svalbard,2673192.083869444
2020-01-01 11:42:30,Australia,2579814.964220024
2020-01-01 11:43:00,Australia,2464062.5688300086
2020-01-01 11:43:30,Australia,2362435.9986478155
2020-01-01 11:44:00,Australia,2276968.4105901546
2020-01-01 11:44:30,Australia,2209656.380519908
2020-01-01 11:45:00,Australia,2162294.357235991
2020-01-01 11:45:30,Australia,2136283.5729200463
2020-01-01 11:46:00,Australia,2132453.578866061
2020-01-01 11:46:30,Australia,2150944.192926008
2020-01-01 11:47:00,Australia,2191186.590474605
2020-01-01 11:47:30,Australia,2251986.760656133
2020-01-01 11:48:00,Australia,2331686.230480756
2020-01-01 11:48:30,Australia,2428353.4671714185
2020-01-01 11:49:00,Australia,2539962.174263365
2020-01-01 11:49:30,Australia,2664529.571681412
2020-01-01 11:59:30,Antarctica,2642721.531647287
2020-01-01 12:00:00,Antarctica,2511148.8864815626
2020-01-01 12:00:30,Antarctica,2390544.5795753035
2020-01-01 12:01:00,Antarctica,2282792.5075667407
