datetime_utc,ground_station,ra_deg,dec_deg
2020-01-01 01:02:30,Australia,7.188049084816618,-48.345887243092065
2020-01-01 01:03:00,Australia,1.8959569722718865,-48.732410620302595
2020-01-01 01:03:30,Australia,-2.050600439212327,-48.078791161835845
2020-01-01 01:04:00,Australia,-7.28056913145406,-47.65647185509635
2020-01-01 01:04:30,Australia,-12.608215182360514,-46.14126791575746
2020-01-01 01:05:00,Australia,-19.490385594426115,-43.22937897091004
2020-01-01 01:05:30,Australia,-26.417666218631652,-41.358477649014596
2020-01-01 01:06:00,Australia,-33.79587016647849,-35.84847605155982
2020-01-01 01:06:30,Australia,-40.74508000931659,-31.082354501103676
2020-01-01 01:07:00,Australia,-46.838541543304984,-23.513584914688153
2020-01-01 01:07:30,Australia,-53.825938683458546,-15.833134236266673
2020-01-01 01:08:00,Australia,-60.31113290898497,-7.140759251633148
2020-01-01 01:08:30,Australia,-64.20636615040547,3.0750399901899774
2020-01-01 01:09:00,Australia,-70.42366547746776,13.064905149635418
2020-01-01 01:09:30,Australia,-74.1012508928417,21.554158695183077
2020-01-01 01:10:00,Australia,-78.20725852504833,26.813836736417162
2020-01-01 01:10:30,Australia,-82.00918954993234,33.59878280847953
2020-01-01 01:11:00,Australia,-85.52182227804266,37.86917469825304
2020-01-01 01:11:30,Australia,-88.28845904928862,42.64341114391478
2020-01-01 01:12:00,Australia,-90.85431849210583,46.66761367228948
2020-01-01 01:12:30,Australia,-93.9989370940664,49.22803658958888
2020-01-01 01:13:00,Australia,-95.92776451706904,52.787405280623325
2020-01-01 01:35:00,Svalbard,-110.97608870178888,6.915866640417297
2020-01-01 01:35:30,Svalbard,-109.6603431528061,7.67049768749873
2020-01-01 01:36:00,Svalbard,-108.11444831902521,10.585820798942695
2020-01-01 01:36:30,Svalbard,-106.01222969301969,13.598554256373303
2020-01-01 01:37:00,Svalbard,-104.72156923389711,17.47703026509523
2020-01-01 01:37:30,Svalbard,-102.81694319005547,20.695497260690296
2020-01-01 01:38:00,Svalbard,-100.17834959960402,25.913026132845083
2020-01-01 01:38:30,Svalbard,-95.90287010148774,31.344433890623687
2020-01-01 01:39:00,Svalbard,-89.00467728184525,38.72812160328262
2020-01-01 01:39:30,Svalbard,-76.79731530198148,45.96713713664393
2020-01-01 01:40:00,Svalbard,-58.04701250739186,53.99758219791036
2020-01-01 01:40:30,Svalbard,-27.984768488725965,56.546069236302586
2020-01-01 01:41:00,Svalbard,-0.10827371087962427,51.6329767125489
2020-01-01 01:41:30,Svalbard,17.61487582512225,43.82883254466098
2020-01-01 01:42:00,Svalbard,28.69273477652879,35.02391793623006
2020-01-01 01:42:30,Svalbard,35.657639215665235,28.286589072028985
2020-01-01 01:43:00,Svalbard,39.525655400936145,21.46932198464193
2020-01-01 01:43:30,Svalbard,42.504612422284914,17.254603227080683
2020-01-01 01:44:00,Svalbard,44.130667535337174,12.259235753889481
2020-01-01 01:44:30,Svalbard,45.7963221234893,9.961472703923528
2020-01-01 01:45:00,Svalbard,46.70205028410551,6.684914472361785
2020-01-01 01:45:30,Svalbard,47.942686293723476,4.29546536687889
2020-01-01 01:46:00,Svalbard,50.13556121759553,2.3479419587345305
2020-01-01 02:07:30,Argentina,30.65878910088517,48.602596294746114
2020-01-01 02:08:00,Argentina,29.05135270212997,45.844249592511304
2020-01-01 02:08:30,Argentina,25.638514343508923,42.26922926504601
2020-01-01 02:09:00,Argentina,23.328262348929464,39.70591935687076
2020-01-01 02:09:30,Argentina,20.456463560264112,35.86470725809632
2020-01-01 02:10:00,Argentina,17.197022095647583,30.301179043805146
2020-01-01 02:10:30,Argentina,14.566464172696843,23.936233338592654
2020-01-01 02:11:00,Argentina,10.44278697060829,18.906066819003495
2020-01-01 02:11:30,Argentina,6.474541281595131,13.21744836555334
2020-01-01 02:12:00,Argentina,0.7850476428381922,4.173673516208984
2020-01-01 02:12:30,Argentina,-3.3748315545802794,-3.795116248535072
2020-01-01 02:13:00,Argentina,-9.119207568434927,-10.506874214430502
2020-01-01 02:13:30,Argentina,-14.070039309687516,-18.698507776468833
2020-01-01 02:14:00,Argentina,-20.884271517509003,-24.506896649028114
2020-01-01 02:14:30,Argentina,-26.61324107776313,-29.980782805279315
2020-01-01 02:15:00,Argentina,-33.30565744018658,-34.66124878996092
2020-01-01 02:15:30,Argentina,-38.97805052800557,-37.31233108127861
2020-01-01 02:16:00,Argentina,-45.20127051852741,-41.5812679898399
2020-01-01 02:16:30,Argentina,-50.33855668997091,-42.390679883118004
2020-01-01 02:17:00,Argentina,-55.034927883326304,-43.77535023631692
2020-01-01 02:17:30,Antarctica,44.618060306278835,15.44272642248621
2020-01-01 02:18:00,Antarctica,41.44215970509258,13.757627456861673
2020-01-01 02:18:30,Antarctica,39.74298466061242,11.550126384248987
2020-01-01 02:19:00,Antarctica,36.88690819480368,8.741351679271506
2020-01-01 02:19:30,Antarctica,35.14150902909564,5.646735952616827
2020-01-01 02:20:00,Antarctica,31.32232796433626,2.639648281182271
2020-01-01 02:20:30,Antarctica,26.97159848848934,-0.614018372148436
2020-01-01 02:21:00,Antarctica,21.140610953686778,-5.421292188203583
2020-01-01 02:21:30,Antarctica,15.092944598687051,-11.343305380255567
2020-01-01 02:22:00,Antarctica,6.054819146430844,-15.637016533672211
2020-01-01 02:22:30,Antarctica,-4.843015508961977,-21.56930900502773
2020-01-01 02:23:00,Antarctica,-17.791630229710538,-27.00599672791689
2020-01-01 02:23:30,Antarctica,-32.11913330280173,-29.928645851829067
2020-01-01 02:24:00,Antarctica,-45.704709693260845,-31.291489927861807
2020-01-01 02:24:30,Antarctica,-57.52005521745537,-32.00404303797364
2020-01-01 02:25:00,Antarctica,-66.82659322078815,-30.097027712264254
2020-01-01 02:25:30,Antarctica,-74.49308461997957,-28.203386988625063
2020-01-01 02:26:00,Antarctica,-81.04621365456684,-25.75569314566096
2020-01-01 02:26:30,Antarctica,-85.42987772327974,-24.05757681827191
2020-01-01 02:27:00,Antarctica,-89.86686093239548,-22.758358602909606
2020-01-01 02:27:30,Antarctica,-93.19124977234958,-21.1877295726741
