datetime_utc,x,y,z,vx,vy,vz
2020-01-01 01:00:00,-1027994.2936571084,-3315145.6682136813,-5970876.736187726,-3737.4261939258395,-5489.658321762962,3678.8012090410843
2020-01-01 01:01:00,-1250295.6756045336,-3637385.162154085,-5738250.457995806,-3656.0084746510306,-5237.59602381418,4103.564605114138
2020-01-01 01:02:00,-1465498.98029396,-3943796.2705667065,-5480739.649123575,-3556.753011530742,-4962.307030091613,4511.299403541604
2020-01-01 01:03:00,-1676674.6360299513,-4232735.913565699,-5199191.952301208,-3444.6171622953248,-4666.913357878086,4898.679530177995
2020-01-01 01:04:00,-1879742.5583207444,-4502354.1409210265,-4893731.677258102,-3315.218334942084,-4351.469148256042,5263.517984480013
2020-01-01 01:05:00,-2075760.0836292768,-4756081.216674938,-4567116.219568793,-3172.245487787656,-4014.301899015309,5604.240959306478
2020-01-01 01:06:00,-2256662.347402305,-4985197.979656108,-4222548.391407721,-3014.118138899482,-3662.4090976243797,5924.674970475004
2020-01-01 01:07:00,-2435342.004777523,-5194704.267483794,-3857101.474868454,-2843.8825663098887,-3292.5511089962833,6216.568168200758
2020-01-01 01:08:00,-2599933.1266167066,-5378274.224932892,-3475594.2357876906,-2661.757741966237,-2909.5736787961328,6481.2565674024
2020-01-01 01:09:00,-2753321.001564471,-5540623.252863407,-3079141.994279413,-2468.1691276186675,-2513.5948412426847,6722.436705863499
2020-01-01 01:10:00,-2895868.4428958027,-5683250.597481117,-2670578.3628850933,-2263.2440177839617,-2108.471563533119,6928.835892364147
2020-01-01 01:11:00,-3025515.1706642127,-5794207.092306416,-2250238.040556078,-2049.239394645181,-1691.4660465744037,7106.987939373618
2020-01-01 01:12:00,-3141268.241895032,-5882670.730384456,-1819339.8346393171,-1824.0498097438813,-1270.6015635904405,7255.977807060465
2020-01-01 01:13:00,-3245344.4369912366,-5944918.0096657,-1379753.3024837011,-1593.8738585981212,-839.9278628380354,7369.89894557243
2020-01-01 01:14:00,-3332789.3515798124,-5984865.660554721,-934527.062336084,-1356.6397498763197,-409.79296737543524,7454.458301699861
2020-01-01 01:15:00,-3407132.8694083258,-5996638.99965443,-485279.48639275884,-1110.982709149994,25.610809061349755,7504.87787797282
2020-01-01 01:16:00,-3466485.0937540215,-5981590.331748978,-36184.30668438821,-865.2372134992198,457.5313063742249,7524.790464520745
2020-01-01 01:17:00,-3511336.9309321935,-5941214.466044139,415354.80708553566,-610.564794422097,888.5119620180378,7509.943903155111
2020-01-01 01:18:00,-3540028.945644012,-5875764.808823285,866458.6658123092,-355.06781890920087,1316.082246036156,7464.886528292436
2020-01-01 01:19:00,-3553614.091443691,-5783176.215403487,1312279.0271342015,-99.51621335651943,1740.3130040489525,7382.594898785139
2020-01-01 01:20:00,-3552574.1579484046,-5665298.0205238825,1753089.9445884076,158.50351588855003,2152.7197651973343,7273.850341987899
2020-01-01 01:21:00,-3536068.7433718094,-5524278.794901075,2183793.451525113,414.46924727880366,2561.1273274794116,7131.336517033271
2020-01-01 01:22:00,-3502541.2482368634,-5357170.117810107,2604474.1998593854,670.254881679181,2954.6380646378607,6957.89582972378
2020-01-01 01:23:00,-3453882.275939731,-5169554.622033836,3018535.8955108384,922.0711812708395,3336.0417790659644,6754.550195292601
2020-01-01 01:24:00,-3391371.371441273,-4959528.606619363,3417150.0187628474,1169.9374837877283,3701.9774095872635,6519.779666414586
2020-01-01 01:25:00,-3313933.0606554905,-4727715.99711943,3800523.0297625163,1411.7068911611486,4053.655871717391,6258.051948000881
2020-01-01 01:26:00,-3222026.00033821,-4473428.956404762,4167348.6607667883,1650.4951707936495,4386.711190983897,5971.347398361664
2020-01-01 01:27:00,-3115274.6534532867,-4200215.260376883,4514816.103821158,1880.9735677999008,4699.213450264625,5655.744953705291
2020-01-01 01:28:00,-2998539.647613304,-3907771.21677839,4845435.595945483,2102.7675607987258,4994.149135180875,5316.165473941284
2020-01-01 01:29:00,-2863933.112395017,-3601394.2296770033,5151642.708178114,2312.794244024281,5267.880696893588,4955.787063370456
2020-01-01 01:30:00,-2719969.809509183,-3277442.3800129583,5437939.35346857,2515.905663297407,5518.728844552304,4568.683064268097
2020-01-01 01:31:00,-2562043.4237821386,-2939483.6275686026,5701095.46563353,2708.383957880144,5742.473882507255,4166.211980868336
2020-01-01 01:32:00,-2395130.6265753475,-2588688.670668331,5937075.113459918,2887.9719294933916,5943.148818648886,3743.203185459157
2020-01-01 01:33:00,-2215875.8790778588,-2226885.7624684377,6152244.232837357,3054.544638863942,6120.732302200085,3305.034434089132
2020-01-01 01:34:00,-2026813.6382890213,-1856652.3965301043,6334713.806986904,3208.3640130610734,6265.924794691977,2849.8926412344576
2020-01-01 01:35:00,-1831877.1647753962,-1476023.6488593002,6492232.156507288,3348.761310664538,6385.81038742815,2383.486975161677
2020-01-01 01:36:00,-1627273.1032173312,-1089141.2386356173,6620460.164582426,3475.1751586640194,6480.775005023627,1905.8396660194946
2020-01-01 01:37:00,-1414714.8990391593,-697589.8729057066,6721169.579483401,3584.5388833497573,6547.36798160356,1420.7486645020417
2020-01-01 01:38:00,-1195272.5720151216,-306039.48044429254,6791682.079727453,3680.918696311433,6582.331892620083,928.9140473145235
2020-01-01 01:39:00,-972211.6831255949,88891.45031738795,6832458.179718874,3759.755635587629,6589.826089198962,436.9280591393326
2020-01-01 01:40:00,-745717.3204187568,486700.23576583277,6845332.204956026,3822.403690606436,6570.44751452852,-62.697691010860716
2020-01-01 01:41:00,-515136.73094661476,877818.6661962097,6825622.906656691,3867.874141104324,6518.927330023785,-561.1034756481946
2020-01-01 01:42:00,-280367.6944306015,1267780.0423943992,6775661.804742037,3896.062917576515,6443.034000568601,-1055.9340311619694
2020-01-01 01:43:00,-46568.24051488314,1652784.001697586,6698598.198407527,3908.4148257701336,6335.888612521716,-1544.4868124110017
2020-01-01 01:44:00,188646.8018909004,2028379.825361373,6591830.306581225,3902.9973462749313,6199.279557289617,-2028.8829845468651
2020-01-01 01:45:00,419775.2407716016,2392808.525039633,6456309.341083947,3883.158046108114,6041.256644049249,-2506.459123835968
2020-01-01 01:46:00,651859.6238532817,2750520.083027792,6289784.698465084,3842.090824251182,5849.89244395834,-2971.0486360756213
2020-01-01 01:47:00,881179.8225571265,3096774.296645338,6098412.2362638535,3786.472156639975,5638.867908818562,-3423.2377090127684
2020-01-01 01:48:00,1105638.7165716493,3425478.751137251,5879933.6354783885,3713.6308113424225,5400.930959182299,-3858.385457753567
2020-01-01 01:49:00,1326688.9295594234,3744372.09021724,5635656.509555353,3625.2724389536115,5140.530335542493,-4278.692262679443
2020-01-01 01:50:00,1541723.1393705544,4043246.5334523018,5367894.985137124,3520.0896379319756,4855.706054039347,-4681.714218959742
2020-01-01 01:51:00,1749416.605366725,4326653.732571499,5075335.319672402,3400.02894730126,4551.035896313841,-5061.336443965783
2020-01-01 01:52:00,1948828.2627441173,4587633.465021954,4758450.447283107,3265.8214661652514,4224.858517911957,-5420.247273682878
2020-01-01 01:53:00,2139270.0968782054,4832305.916594377,4425138.2070875885,3117.3018167727632,3879.407741855,-5756.712134451993
2020-01-01 01:54:00,2323234.9359934316,5055146.535016029,4069781.630797662,2954.664872249946,3517.332034772336,-6067.501984272213
2020-01-01 01:55:00,2493515.610496753,5255261.280150117,3696528.5002540085,2776.7279325112445,3142.290670121046,-6351.762299119127
2020-01-01 01:56:00,2655982.5071191834,5432337.096353646,3309299.9919950934,2588.434790795124,2752.1218971985195,-6606.786679000871
2020-01-01 01:57:00,2805319.84693883,5585206.897109723,2904233.5144712925,2388.38407602614,2349.3786023758125,-6833.340958865422
2020-01-01 01:58:00,2941298.8442967297,5714339.572783356,2487873.158014684,2177.312168856346,1936.1737340075006,-7031.248009293063
2020-01-01 01:59:00,3066906.681685514,5817726.087125471,2061816.975852575,1959.9577694237046,1514.1693405428764,-7195.438022552535
2020-01-01 02:00:00,3177360.466743047,5895898.4814238995,1624134.0080893235,1731.0932534225603,1089.0992009197353,-7330.947400168438
2020-01-01 02:01:00,3272235.393479707,5947539.454540421,1182348.8159647933,1493.4188214787891,653.585528069574,-7435.197382552914
2020-01-01 02:02:00,3355254.8652517423,5972669.1932470435,735701.1356299138,1253.601771128454,216.99468938836856,-7504.367184958477
2020-01-01 02:03:00,3423659.1188108698,5972554.686115297,283923.62634086335,1007.582523807581,-218.7033080606157,-7543.40796094764
2020-01-01 02:04:00,3477047.8265685537,5946069.621939453,-169847.43593360714,754.6497292144103,-654.4230847982822,-7547.3380307231155
2020-01-01 02:05:00,3513833.423567912,5894557.6403979985,-622532.0986710272,496.84277275397534,-1086.4689321348148,-7516.9325925733365
2020-01-01 02:06:00,3535793.3845868707,5815954.394374864,-1071486.8153319021,240.4299180723759,-1515.308570894926,-7455.615680870761
2020-01-01 02:07:00,3543412.0913948272,5712587.571257837,-1515242.5493033556,-20.09668834984865,-1938.1919117562256,-7359.396837622809
2020-01-01 02:08:00,3533874.525680849,5583078.926921559,-1955212.1476416064,-277.1702037869277,-2351.5321403346097,-7232.910424580403
2020-01-01 02:09:00,3512317.909455865,5432041.256733176,-2385379.8074742253,-533.7975728398847,-2754.659296267167,-7074.203240001024
2020-01-01 02:10:00,3470740.003219298,5253847.7512281565,-2803164.354645664,-790.4192194904606,-3142.849298894857,-6886.312121282804
2020-01-01 02:11:00,3416403.456385944,5052016.3414120795,-3209508.044233682,-1042.7962461030374,-3517.689927461104,-6666.5969741431845
2020-01-01 02:12:00,3345440.865472116,4833089.491629833,-3601576.984134747,-1289.2174801314238,-3880.0887136982715,-6417.293050640248
2020-01-01 02:13:00,3260158.548579006,4589278.313718657,-3979696.5261560082,-1529.2198468557767,-4224.0763916152555,-6140.235259527115
2020-01-01 02:14:00,3160977.1492033713,4326041.70329439,-4337751.673701057,-1763.817097483908,-4550.584678063852,-5835.903004478019
2020-01-01 02:15:00,3049535.681175938,4041362.5837132335,-4679139.822546101,-1991.8652453282584,-4856.293140148314,-5505.281869104518
2020-01-01 02:16:00,2923284.976061966,3741768.484364179,-5000153.3763839,-2210.4217773316964,-5141.0184273132645,-5155.112226319788
2020-01-01 02:17:00,2784048.9601541115,3427135.1294642696,-5296573.357809533,-2417.3849979257093,-5400.588246305107,-4777.057857848097
2020-01-01 02:18:00,2631943.4847112857,3094560.259062427,-5570557.981109842,-2617.3692166130586,-5641.47621114267,-4380.791620400182
2020-01-01 02:19:00,2469907.2842040635,2749554.9504822018,-5823108.002371534,-2800.3556594851443,-5852.46105633321,-3966.885756474558
2020-01-01 02:20:00,2297361.956033743,2395166.039587977,-6049123.117745623,-2975.8278659058865,-6040.228061748269,-3534.455548924626
2020-01-01 02:21:00,2114513.7431176016,2025601.276897741,-6247683.239405153,-3134.1218719879635,-6204.131846863104,-3086.40298675567
2020-01-01 02:22:00,1923266.193133585,1648347.5443231368,-6418567.010671726,-3281.3915204276886,-6334.667999540719,-2624.6978753374456
2020-01-01 02:23:00,1720023.9858583417,1265822.4166608895,-6561174.456178259,-3415.984643289197,-6441.349374607533,-2150.6481849003926
2020-01-01 02:24:00,1510764.3991783957,877586.9429345432,-6674102.051497019,-3533.5871465496316,-6520.410681152004,-1670.068863133327
2020-01-01 02:25:00,1296277.3892584024,483130.1660268853,-6759950.958599052,-3635.778238584532,-6568.534580347278,-1181.218009235037
