datetime_utc,ground_station,range_rate
2020-01-01 02:45:00,Australia,5175.534252812836
2020-01-01 02:45:30,Australia,5531.475159004669
2020-01-01 02:46:00,Australia,5805.749749006563
2020-01-01 02:46:30,Australia,6016.9695970721405
2020-01-01 02:47:00,Australia,6179.50931890042
2020-01-01 03:08:30,Svalbard,-6957.403018048082
2020-01-01 03:09:00,Svalbard,-6927.685269214082
2020-01-01 03:09:30,Svalbard,-6880.307051509898
2020-01-01 03:10:00,Svalbard,-6808.682684638734
2020-01-01 03:10:30,Svalbard,-6702.569358929389
2020-01-01 03:11:00,Svalbard,-6545.539071649085
2020-01-01 03:11:30,Svalbard,-6310.447937048592
2020-01-01 03:12:00,Svalbard,-5951.411746073399
2020-01-01 03:12:30,Svalbard,-5390.782205366713
2020-01-01 03:13:00,Svalbard,-4504.607823186965
2020-01-01 03:13:30,Svalbard,-3135.5570802643933
2020-01-01 03:14:00,Svalbard,-1217.2011844107901
2020-01-01 03:14:30,Svalbard,988.3532825244747
2020-01-01 03:15:00,Svalbard,2957.482329048786
2020-01-01 03:15:30,Svalbard,4386.252576268173
2020-01-01 03:16:00,Svalbard,5317.03885664929
2020-01-01 03:16:30,Svalbard,5906.277189051941
2020-01-01 03:17:00,Svalbard,6283.113700911892
2020-01-01 03:17:30,Svalbard,6529.513421259586
2020-01-01 03:18:00,Svalbard,6694.027282617351
2020-01-01 03:18:30,Svalbard,6805.332564112977
2020-01-01 03:19:00,Svalbard,6880.734366088845
2020-01-01 03:19:30,Svalbard,6930.986522840834
2020-01-01 03:20:00,Svalbard,6962.980430045762
2020-01-01 03:20:30,Svalbard,6981.26463090767
2020-01-01 03:54:30,Antarctica,-4763.2747539720995
2020-01-01 03:55:00,Antarctica,-4382.215119420169
2020-01-01 03:55:30,Antarctica,-3921.9068439517478
2020-01-01 03:56:00,Antarctica,-3372.591797326738
2020-01-01 03:56:30,Antarctica,-2728.788045790995
2020-01-01 03:57:00,Antarctica,-1993.0294345181178
2020-01-01 03:57:30,Antarctica,-1179.4087863252175
2020-01-01 03:58:00,Antarctica,-314.896777668842
2020-01-01 03:58:30,Antarctica,563.5137995209607
2020-01-01 03:59:00,Antarctica,1415.84321554394
2020-01-01 03:59:30,Antarctica,2207.5429267990094
2020-01-01 04:00:00,Antarctica,2915.452277338957
