datetime_utc,ground_station,range
2020-01-01 02:45:00,Australia,1918207.3429353677
2020-01-01 02:45:30,Australia,2079195.6965394097
2020-01-01 02:46:00,Australia,2249535.991795529
2020-01-01 02:46:30,Australia,2426770.882510149
2020-01-01 02:47:00,Australia,2609997.6523675155
2020-01-01 03:08:30,Svalbard,2645596.427323323
2020-01-01 03:09:00,Svalbard,2437257.3320010835
2020-01-01 03:09:30,Svalbard,2230239.3640210936
2020-01-01 03:10:00,Svalbard,2024508.288043202
2020-01-01 03:10:30,Svalbard,1821892.8239960296
2020-01-01 03:11:00,Svalbard,1622768.3241437965
2020-01-01 03:11:30,Svalbard,1429916.5229111903
2020-01-01 03:12:00,Svalbard,1245502.5146998197
2020-01-01 03:12:30,Svalbard,1074760.1296696845
2020-01-01 03:13:00,Svalbard,925393.9859129126
2020-01-01 03:13:30,Svalbard,809364.9521697365
2020-01-01 03:14:00,Svalbard,742898.8033607877
2020-01-01 03:14:30,Svalbard,739358.6337625666
2020-01-01 03:15:00,Svalbard,799647.1375629205
2020-01-01 03:15:30,Svalbard,911173.6126289562
2020-01-01 03:16:00,Svalbard,1057841.3159694371
2020-01-01 03:16:30,Svalbard,1226683.2092072603
2020-01-01 03:17:00,Svalbard,1410065.6202580368
2020-01-01 03:17:30,Svalbard,1602356.084564837
2020-01-01 03:18:00,Svalbard,1801034.3499995656
2020-01-01 03:18:30,Svalbard,2003617.325135976
2020-01-01 03:19:00,Svalbard,2208991.7867349805
2020-01-01 03:19:30,Svalbard,2416128.835094654
2020-01-01 03:20:00,Svalbard,2624648.8688792675
2020-01-01 03:53:30,Antarctica,2643725.8640865977
2020-01-01 03:54:00,Antarctica,2487081.2914641993
2020-01-01 03:54:30,Antarctica,2339474.1562699503
2020-01-01 03:55:00,Antarctica,2201856.743481965
2020-01-01 03:55:30,Antarctica,2077410.7440114303
2020-01-01 03:56:00,Antarctica,1967696.880766292
2020-01-01 03:56:30,Antarctica,1875925.46277068
2020-01-01 03:57:00,Antarctica,1804829.2903554083
2020-01-01 03:57:30,Antarctica,1757233.396152934
2020-01-01 03:58:00,Antarctica,1734633.835567776
2020-01-01 03:58:30,Antarctica,1738093.051878345
2020-01-01 03:59:00,Antarctica,1768110.132429256
