datetime_utc,ground_station,az_deg,el_deg
2020-01-01 01:03:00,Australia,150.6225425261686,2.2011297101822334
2020-01-01 01:03:30,Australia,146.6080616363886,4.160020424044075
2020-01-01 01:04:00,Australia,144.04050290239127,6.471121644570018
2020-01-01 01:04:30,Australia,139.96350510478052,9.346863325619296
2020-01-01 01:05:00,Australia,134.33603424712314,10.71399187548598
2020-01-01 01:05:30,Australia,130.66889616251808,12.81821345871094
2020-01-01 01:06:00,Australia,123.38297581638481,16.007806605127126
2020-01-01 01:06:30,Australia,115.8596081694015,18.619426734201657
2020-01-01 01:07:00,Australia,106.25079240608507,20.919846831675795
2020-01-01 01:07:30,Australia,94.94785281220014,22.69860900529391
2020-01-01 01:08:00,Australia,82.40769533704051,21.353347876302934
2020-01-01 01:08:30,Australia,69.34131193217456,22.67485623718658
2020-01-01 01:09:00,Australia,59.33506401702282,20.012288392774114
2020-01-01 01:09:30,Australia,50.44396067121048,18.31619954225399
2020-01-01 01:10:00,Australia,42.11374719893106,14.684555645458149
2020-01-01 01:10:30,Australia,35.13368817293734,13.085557218471187
2020-01-01 01:11:00,Australia,29.712345882738155,9.884993418765875
2020-01-01 01:11:30,Australia,25.690543014895876,7.9478887758157954
2020-01-01 01:12:00,Australia,22.266750482302562,5.5105387145069455
2020-01-01 01:12:30,Australia,19.506190925870275,3.5643594912595153
2020-01-01 01:13:00,Australia,17.050028387136283,1.3822991455340832
2020-01-01 01:13:30,Australia,14.069812365331577,0.8848213010991932
2020-01-01 01:14:00,Australia,12.45624212320029,-1.3595669287646348
2020-01-01 01:35:30,Svalbard,66.29517589768525,4.071678612911374
2020-01-01 01:36:00,Svalbard,65.44905542645168,5.469651812525257
2020-01-01 01:36:30,Svalbard,63.42186729812437,9.046341466126735
2020-01-01 01:37:00,Svalbard,61.87122522575532,10.84697470152472
2020-01-01 01:37:30,Svalbard,58.3594010729561,14.555051431774425
2020-01-01 01:38:00,Svalbard,55.2549023011154,20.438538889254442
2020-01-01 01:38:30,Svalbard,49.6396648148474,24.61311455712178
2020-01-01 01:39:00,Svalbard,41.68287204003102,29.700834101248613
2020-01-01 01:39:30,Svalbard,30.206190698217394,37.27529029607509
2020-01-01 01:40:00,Svalbard,11.450566957754978,42.83379932866526
2020-01-01 01:40:30,Svalbard,-12.260652048453235,44.619299353206586
2020-01-01 01:41:00,Svalbard,-35.50184500033722,41.39096348045339
2020-01-01 01:41:30,Svalbard,-52.284501337082624,34.86818494985211
2020-01-01 01:42:00,Svalbard,-63.20124635797796,28.216057600229863
2020-01-01 01:42:30,Svalbard,-69.71940876953751,22.531882767461266
2020-01-01 01:43:00,Svalbard,-74.55065488960342,18.251095900119083
2020-01-01 01:43:30,Svalbard,-77.09632274199699,14.084415252910764
2020-01-01 01:44:00,Svalbard,-81.70693009346117,11.3242980192864
2020-01-01 01:44:30,Svalbard,-84.18425270410155,8.36492318633093
2020-01-01 01:45:00,Svalbard,-86.01614610580374,4.793231514604699
2020-01-01 01:45:30,Svalbard,-86.05021653157728,2.8523947553780413
2020-01-01 01:46:00,Svalbard,-87.29505219291629,0.9881055283090414
2020-01-01 01:46:30,Svalbard,-86.96601423354855,-1.5301963926876214
2020-01-01 02:08:00,Argentina,-25.76007641472546,1.7258232371449078
2020-01-01 02:08:30,Argentina,-30.462592532026573,4.200763914013902
2020-01-01 02:09:00,Argentina,-34.029192213040844,6.227201266843431
2020-01-01 02:09:30,Argentina,-38.95267005178741,7.970890235521917
2020-01-01 02:10:00,Argentina,-43.25488541329179,10.18395090530173
2020-01-01 02:10:30,Argentina,-49.743464347880376,12.355836591607133
2020-01-01 02:11:00,Argentina,-58.12229410137384,14.061079719455725
2020-01-01 02:11:30,Argentina,-66.1773160130984,15.302099777046864
2020-01-01 02:12:00,Argentina,-75.73034645066889,15.630690656092424
2020-01-01 02:12:30,Argentina,-85.7353453183003,16.26755180619032
2020-01-01 02:13:00,Argentina,-95.26980393096851,15.853389405920343
2020-01-01 02:13:30,Argentina,-104.75444800176903,15.177738983669695
2020-01-01 02:14:00,Argentina,-113.40308682285199,13.74268777655969
2020-01-01 02:14:30,Argentina,-121.28452789388291,11.760892403169395
2020-01-01 02:15:00,Argentina,-126.98348231803152,9.318995302464925
2020-01-01 02:15:30,Argentina,-132.65508383074297,7.48303910957582
2020-01-01 02:16:00,Argentina,-135.94469150552013,5.587990235161627
2020-01-01 02:16:30,Argentina,-140.98946897489174,4.348444586919017
2020-01-01 02:17:00,Argentina,-144.46181769951363,2.9924536606476626
2020-01-01 02:17:30,Argentina,-147.62966829227707,1.545023826638439
2020-01-01 02:18:00,Antarctica,-17.434721028391017,3.3696591815361145
2020-01-01 02:18:30,Antarctica,-19.38671773495687,5.5898361764408895
2020-01-01 02:19:00,Antarctica,-22.774758400815188,7.4167858805604565
2020-01-01 02:19:30,Antarctica,-26.1865862508632,10.865792719261508
2020-01-01 02:20:00,Antarctica,-30.412682833053648,12.89503591492243
2020-01-01 02:20:30,Antarctica,-37.006377966898924,15.997323121858475
2020-01-01 02:21:00,Antarctica,-44.362954548274516,20.86272229034725
2020-01-01 02:21:30,Antarctica,-53.95941080308134,22.700449727851208
2020-01-01 02:22:00,Antarctica,-66.42484928002744,25.38923716171623
2020-01-01 02:22:30,Antarctica,-79.11750896088509,27.729777375309077
2020-01-01 02:23:00,Antarctica,-93.96668998724914,28.665039373555395
2020-01-01 02:23:30,Antarctica,-108.05441352947105,25.799464104216135
2020-01-01 02:24:00,Antarctica,-119.77755264999118,23.209074978267022
