datetime_utc,ground_station,ra_deg,dec_deg
2020-01-01 01:03:00,Australia,2.558928652101634,-48.77780557078143
2020-01-01 01:03:30,Australia,-2.223260704711581,-48.41837330999534
2020-01-01 01:04:00,Australia,-7.529725456428044,-47.62018978735632
2020-01-01 01:04:30,Australia,-13.352455433273978,-46.241086819532065
2020-01-01 01:05:00,Australia,-19.641662864745978,-44.10256902307086
2020-01-01 01:05:30,Australia,-26.29741848482039,-40.99283988226938
2020-01-01 01:06:00,Australia,-33.17153554529362,-36.68486338521279
2020-01-01 01:06:30,Australia,-40.08345129367594,-30.982517175740586
2020-01-01 01:07:00,Australia,-46.84742975354833,-23.80712948535101
2020-01-01 01:07:30,Australia,-53.30171811213612,-15.312725091402973
2020-01-01 01:08:00,Australia,-59.32903338211697,-5.958367817449541
2020-01-01 01:08:30,Australia,-64.86311167965177,3.571440126341363
2020-01-01 01:09:00,Australia,-69.8832211119094,12.602623739925049
2020-01-01 01:09:30,Australia,-74.40239371987842,20.692318241325488
2020-01-01 01:10:00,Australia,-78.45479403506515,27.682883910066405
2020-01-01 01:10:30,Australia,-82.08531469228366,33.61987372292621
2020-01-01 01:11:00,Australia,-85.34231364251944,38.644112118326376
2020-01-01 01:11:30,Australia,-88.27317576529774,42.9181550063863
2020-01-01 01:12:00,Australia,-90.92196074363969,46.5911032719486
2020-01-01 01:12:30,Australia,-93.32841495513459,49.78715507389047
2020-01-01 01:13:00,Australia,-95.52779499557538,52.60521508048593
2020-01-01 01:13:30,Australia,-97.55113167790643,55.122466297509
2020-01-01 01:14:00,Australia,-99.42570614591718,57.398708361220656
2020-01-01 01:35:30,Svalbard,-108.92733664814388,8.497758694599298
2020-01-01 01:36:00,Svalbard,-107.92761883890117,11.020759811513054
2020-01-01 01:36:30,Svalbard,-106.64871774063432,13.878979891626631
2020-01-01 01:37:00,Svalbard,-104.97667695868894,17.179637875873908
2020-01-01 01:37:30,Svalbard,-102.72777168913606,21.072319100526727
2020-01-01 01:38:00,Svalbard,-99.58854812705714,25.76172407204005
2020-01-01 01:38:30,Svalbard,-94.98742424419277,31.505109888531383
2020-01-01 01:39:00,Svalbard,-87.80529476331563,38.52910542915233
2020-01-01 01:39:30,Svalbard,-75.75597000122082,46.641969843713575
2020-01-01 01:40:00,Svalbard,-54.85135664278358,54.04651691533645
2020-01-01 01:40:30,Svalbard,-24.408074639017062,56.1725822913196
2020-01-01 01:41:00,Svalbard,3.103320976627283,50.692306661253376
2020-01-01 01:41:30,Svalbard,20.071525856722484,41.86701945838828
2020-01-01 01:42:00,Svalbard,29.860581217388457,33.437664652066836
2020-01-01 01:42:30,Svalbard,35.85788226841175,26.436913888417862
2020-01-01 01:43:00,Svalbard,39.80015550807071,20.788642946970104
2020-01-01 01:43:30,Svalbard,42.54424361671417,16.193148470488932
2020-01-01 01:44:00,Svalbard,44.53974450886059,12.377803274302103
2020-01-01 01:44:30,Svalbard,46.03989435697064,9.137783452050327
2020-01-01 01:45:00,Svalbard,47.19657559859477,6.326612478493756
2020-01-01 01:45:30,Svalbard,48.10581944118529,3.840242647192055
2020-01-01 01:46:00,Svalbard,48.831072376312974,1.6041076632255808
2020-01-01 01:46:30,Svalbard,49.415822112430035,-0.4360186319473267
2020-01-01 02:08:00,Argentina,27.30147225524971,45.107241533595555
2020-01-01 02:08:30,Argentina,24.884531613540712,41.778250771521776
2020-01-01 02:09:00,Argentina,22.224284728775746,37.998889017420744
2020-01-01 02:09:30,Argentina,19.288297761161523,33.676194823084025
2020-01-01 02:10:00,Argentina,16.042252276039772,28.711727202260377
2020-01-01 02:10:30,Argentina,12.451529962592272,23.01823865801625
2020-01-01 02:11:00,Argentina,8.483952095282444,16.551515341376096
2020-01-01 02:11:30,Argentina,4.114019616773139,9.357899534272255
2020-01-01 02:12:00,Argentina,-0.6711845785028226,1.623071142571946
2020-01-01 02:12:30,Argentina,-5.864765109650932,-6.313284027483238
2020-01-01 02:13:00,Argentina,-11.432666152425012,-14.01269772628372
2020-01-01 02:13:30,Argentina,-17.308485833320105,-21.05317425935125
2020-01-01 02:14:00,Argentina,-23.393359082619718,-27.13855788900669
2020-01-01 02:14:30,Argentina,-29.563083990234627,-32.14132680892442
2020-01-01 02:15:00,Argentina,-35.682180737001005,-36.07741379737524
2020-01-01 02:15:30,Argentina,-41.621360983918066,-39.0515703979698
2020-01-01 02:16:00,Argentina,-47.27309255944001,-41.206869894998505
2020-01-01 02:16:30,Argentina,-52.560960573675736,-42.69101090977449
2020-01-01 02:17:00,Argentina,-57.44154978496873,-43.63847147101536
2020-01-01 02:17:30,Argentina,-61.9004548206064,-44.16344081175371
2020-01-01 02:18:00,Antarctica,41.218960419164226,12.691054917118352
2020-01-01 02:18:30,Antarctica,39.02381928622057,10.309678366597351
2020-01-01 02:19:00,Antarctica,36.41605288306212,7.644687226342674
2020-01-01 02:19:30,Antarctica,33.27219294207756,4.620901277962118
2020-01-01 02:20:00,Antarctica,29.422612921891407,1.1461423078610509
2020-01-01 02:20:30,Antarctica,24.635014279617415,-2.881547549451691
2020-01-01 02:21:00,Antarctica,18.5994391584157,-7.545550608811078
2020-01-01 02:21:30,Antarctica,10.93335052730698,-12.837269821155637
2020-01-01 02:22:00,Antarctica,1.2566760639351056,-18.51830981893614
2020-01-01 02:22:30,Antarctica,-10.578703045711313,-23.977188545512625
2020-01-01 02:23:00,Antarctica,-24.104581900070176,-28.310915680649078
2020-01-01 02:23:30,Antarctica,-38.06430030316411,-30.808521070185346
2020-01-01 02:24:00,Antarctica,-50.95281747549166,-31.4233923868242
2020-01-01 02:24:30,Antarctica,-61.84249744040792,-30.658650196393424
2020-01-01 02:25:00,Antarctica,-70.58524734532534,-29.114811845460515
2020-01-01 02:25:30,Antarctica,-77.47269531046912,-27.225721622468622
2020-01-01 02:26:00,Antarctica,-82.90304813936969,-25.237224980124694
2020-01-01 02:26:30,Antarctica,-87.23021487932671,-23.26919066685249
2020-01-01 02:27:00,Antarctica,-90.72857990589723,-21.372277200318177
2020-01-01 02:27:30,Antarctica,-93.60059301052212,-19.562776030295502
2020-01-01 02:28:00,Antarctica,-95.99358886210622,-17.84112166444716
2020-01-01 02:28:30,Antarctica,-98.01504637970278,-16.201091970986106
2020-01-01 02:29:00,Antarctica,-99.74413454713785,-14.634197612038987
2020-01-01 02:37:30,Australia,102.38761460264477,-58.57371071135766
2020-01-01 02:38:00,Australia,109.69450814924684,-58.92848826566023
2020-01-01 02:38:30,Australia,118.09416710658354,-58.65402837670733
2020-01-01 02:39:00,Australia,127.35206684002364,-57.49733256642068
2020-01-01 02:39:30,Australia,137.00285536073653,-55.192879296578276
2020-01-01 02:40:00,Australia,146.45167390017335,-51.51961362356334
2020-01-01 02:40:30,Australia,155.16548465083838,-46.36535171657247
2020-01-01 02:41:00,Australia,162.81981791376998,-39.781969100168254
2020-01-01 02:41:30,Australia,169.3175870901977,-32.01982409315437
2020-01-01 02:42:00,Australia,174.71885488363318,-23.517128260858293
2020-01-01 02:42:30,Australia,179.15790232115148,-14.815354945886757
2020-01-01 02:43:00,Australia,-177.2135537079707,-6.41993394873225
2020-01-01 02:43:30,Australia,-174.25476563664222,1.3160245541987587
2020-01-01 02:44:00,Australia,-171.8461204480089,8.224906060525699
2020-01-01 02:44:30,Australia,-169.8902494758891,14.286284342461773
2020-01-01 02:45:00,Australia,-168.3095430907195,19.565528818114657
2020-01-01 02:45:30,Australia,-167.04272022067875,24.163507626470714
2020-01-01 02:46:00,Australia,-166.04154773819877,28.186317954230375
2020-01-01 02:46:30,Australia,-165.26806757826495,31.730900941678936
2020-01-01 02:47:00,Australia,-164.6923791153778,34.880072441740545
2020-01-01 03:08:30,Svalbard,-109.6470756761516,0.13288444566188898
2020-01-01 03:09:00,Svalbard,-109.0269647220711,2.2708907298955228
2020-01-01 03:09:30,Svalbard,-108.25202999947916,4.633057215231053
2020-01-01 03:10:00,Svalbard,-107.27148786173066,7.284449813591557
2020-01-01 03:10:30,Svalbard,-106.0097381482098,10.315661367268921
2020-01-01 03:11:00,Svalbard,-104.34952300385247,13.85461029281383
2020-01-01 03:11:30,Svalbard,-102.09974057157989,18.082895424122917
2020-01-01 03:12:00,Svalbard,-98.92970589857016,23.25368959302866
2020-01-01 03:12:30,Svalbard,-94.22487740144442,29.690579373004827
2020-01-01 03:13:00,Svalbard,-86.75105406192786,37.67892465060138
2020-01-01 03:13:30,Svalbard,-73.90983009561573,46.95055052948436
2020-01-01 03:14:00,Svalbard,-51.16431093944527,55.18579726023901
2020-01-01 03:14:30,Svalbard,-18.87881315384338,57.112472651200704
2020-01-01 03:15:00,Svalbard,8.086891394691365,51.328373694569066
2020-01-01 03:15:30,Svalbard,23.86090144157497,42.905994724787085
2020-01-01 03:16:00,Svalbard,32.833749847559716,35.14437343313708
2020-01-01 03:16:30,Svalbard,38.32958670132786,28.746755832976636
2020-01-01 03:17:00,Svalbard,41.95270712376225,23.563841589073256
2020-01-01 03:17:30,Svalbard,44.48270673307511,19.312201407418076
2020-01-01 03:18:00,Svalbard,46.327729907272804,15.750088990725583
2020-01-01 03:18:30,Svalbard,47.718061543582635,12.698697097254978
2020-01-01 03:19:00,Svalbard,48.79222044328323,10.030339139042152
2020-01-01 03:19:30,Svalbard,49.63806223863697,7.653972519546216
2020-01-01 03:20:00,Svalbard,50.31380667634313,5.503978359676463
2020-01-01 03:20:30,Svalbard,50.85947027124752,3.5323374113557664
2020-01-01 03:54:30,Antarctica,18.82991521891792,4.027611758486711
2020-01-01 03:55:00,Antarctica,15.100298758015382,1.3940524784812456
2020-01-01 03:55:30,Antarctica,10.855816373918564,-1.3953595732028028
2020-01-01 03:56:00,Antarctica,6.035293668273032,-4.314967209151741
2020-01-01 03:56:30,Antarctica,0.5918685242432923,-7.310504188094124
2020-01-01 03:57:00,Antarctica,-5.490138862518445,-10.291756939184893
2020-01-01 03:57:30,Antarctica,-12.1743509409583,-13.132473751927142
2020-01-01 03:58:00,Antarctica,-19.35389569290271,-15.683624218063182
2020-01-01 03:58:30,Antarctica,-26.846603450960846,-17.801381488122985
2020-01-01 03:59:00,Antarctica,-34.41400436336313,-19.38125343020869
2020-01-01 03:59:30,Antarctica,-41.80310236408811,-20.382275913641255
2020-01-01 04:00:00,Antarctica,-48.794636692800786,-20.82930424636852
2020-01-01 04:00:30,Antarctica,-55.23664968758467,-20.795130549858747
2020-01-01 04:01:00,Antarctica,-61.05294290858525,-20.374674067011
2020-01-01 04:01:30,Antarctica,-66.23115622415885,-19.663175341866665
2020-01-01 04:02:00,Antarctica,-70.80218733427077,-18.743456240984685
2020-01-01 04:02:30,Antarctica,-74.82049922218003,-17.68134829052891
2020-01-01 04:03:00,Antarctica,-78.34958954779896,-16.526152057363433
2020-01-01 04:03:30,Antarctica,-81.45299872677707,-15.31330895657108
