datetime_utc,ground_station,az_deg,el_deg
2020-01-01 01:03:00,Australia,149.53131162035223,2.218221223185871
2020-01-01 01:03:30,Australia,146.88832211331862,4.140927453030083
2020-01-01 01:04:00,Australia,143.7799213432936,6.2024161508984585
2020-01-01 01:04:30,Australia,140.07852701144148,8.41914818571561
2020-01-01 01:05:00,Australia,135.6178890111491,10.799263720173673
2020-01-01 01:05:30,Australia,130.18751601016635,13.329140890183787
2020-01-01 01:06:00,Australia,123.53902214496136,15.948622158961273
2020-01-01 01:06:30,Australia,115.42531042773916,18.513099130456222
2020-01-01 01:07:00,Australia,105.7051724972476,20.755906631341784
2020-01-01 01:07:30,Australia,94.52477933936312,22.29941064107075
2020-01-01 01:08:00,Australia,82.47706018960655,22.781314775191692
2020-01-01 01:08:30,Australia,70.51275133293697,22.0652290113835
2020-01-01 01:09:00,Australia,59.54621765542519,20.339142285336916
2020-01-01 01:09:30,Australia,50.09563742986651,17.983591973400944
2020-01-01 01:10:00,Australia,42.24749391188467,15.364111214187425
2020-01-01 01:10:30,Australia,35.83308201715607,12.726020119300122
2020-01-01 01:11:00,Australia,30.60019338693611,10.196529935228483
2020-01-01 01:11:30,Australia,26.30510891877069,7.825015591644389
2020-01-01 01:12:00,Australia,22.744513602275802,5.619328300648545
2020-01-01 01:12:30,Australia,19.758894578578463,3.568544439775525
2020-01-01 01:13:00,Australia,17.226145559614285,1.6550063013561995
2020-01-01 01:13:30,Australia,15.053421785814724,-0.1399780172362851
2020-01-01 01:14:00,Australia,13.169962156873186,-1.833736466290327
2020-01-01 01:35:30,Svalbard,66.55676890261681,3.7888319176985137
2020-01-01 01:36:00,Svalbard,65.22461141642134,6.1013814032561235
2020-01-01 01:36:30,Svalbard,63.561326655558595,8.693500468010665
2020-01-01 01:37:00,Svalbard,61.43915422748165,11.652182248771823
2020-01-01 01:37:30,Svalbard,58.65878407253917,15.096566679950403
2020-01-01 01:38:00,Svalbard,54.895794759199994,19.184569811141557
2020-01-01 01:38:30,Svalbard,49.59900581556692,24.10188952325009
2020-01-01 01:39:00,Svalbard,41.80425153903299,29.976617947577378
2020-01-01 01:39:30,Svalbard,29.881709635162068,36.556694902735615
2020-01-01 01:40:00,Svalbard,11.789704159511048,42.427708048202454
2020-01-01 01:40:30,Svalbard,-12.004333084252583,44.60803865251975
2020-01-01 01:41:00,Svalbard,-35.04209877836803,41.43824615984952
2020-01-01 01:41:30,Svalbard,-51.84144670164198,35.194661145444655
2020-01-01 01:42:00,Svalbard,-62.815938919860415,28.6549096248765
2020-01-01 01:42:30,Svalbard,-70.03219740516782,22.937111235222428
2020-01-01 01:43:00,Svalbard,-74.97875034700114,18.173954527143643
2020-01-01 01:43:30,Svalbard,-78.52165695369658,14.209895499313493
2020-01-01 01:44:00,Svalbard,-81.15755001425543,10.859833282988053
2020-01-01 01:44:30,Svalbard,-83.18103563994197,7.972161888411503
2020-01-01 01:45:00,Svalbard,-84.77462156770532,5.4337749355459115
2020-01-01 01:45:30,Svalbard,-86.05620117745609,3.162317440858714
2020-01-01 01:46:00,Svalbard,-87.10483654331833,1.0978191675176183
2020-01-01 01:46:30,Svalbard,-87.9753148287276,-0.8038152281329882
2020-01-01 02:08:00,Argentina,-26.707448545953156,2.159950507420964
2020-01-01 02:08:30,Argentina,-30.058474116468425,3.9736325964467736
2020-01-01 02:09:00,Argentina,-33.97667284995364,5.873318041365515
2020-01-01 02:09:30,Argentina,-38.58565411683371,7.848072572351335
2020-01-01 02:10:00,Argentina,-44.024686976445025,9.866379418057445
2020-01-01 02:10:30,Argentina,-50.43250722138186,11.862609167916009
2020-01-01 02:11:00,Argentina,-57.91053275882853,13.722277945257641
2020-01-01 02:11:30,Argentina,-66.45977622486602,15.276399231940886
2020-01-01 02:12:00,Argentina,-75.90526743116078,16.323500805324873
